drug1,drug2,side_effect,PRR
prednisone,thioguanine,Haematotoxicity,1350.0
cyclophosphamide,thioguanine,Haematotoxicity,1350.0
daunorubicin,doxorubicin,Haematotoxicity,1350.0
sevelamer,gadopentetate dimeglumine,Skin induration,1340.0
cyclosporine,ganciclovir,Cytomegalovirus infection,1330.0
oxycodone,cocaine,Polysubstance abuse,1310.0
methylprednisolone,basiliximab,Kidney transplant rejection,1310.0
hydrocodone,pamidronate,Osteonecrosis of jaw,1270.0
aprotinin,protamine sulfate (usp),Renal injury,1260.0
tacrolimus,methotrexate,Chronic graft versus host disease,1230.0
buprenorphine,cocaine,Substance abuse,1220.0
aprotinin,fentanyl,Renal injury,1173.33
vancomycin,fentanyl,Renal injury,1170.0
aprotinin,dopamine,Renal injury,1130.0
calcium acetate,sevelamer,Nephrogenic systemic fibrosis,1130.0
busulfan,cyclophosphamide,Venoocclusive disease,1130.0
cefazolin,protamine sulfate (usp),Fear,1125.0
gadodiamide,sevelamer,Nephrogenic systemic fibrosis,1120.0
warfarin,gadopentetate dimeglumine,Nephrogenic systemic fibrosis,1095.0
metoprolol,gadopentetate dimeglumine,Nephrogenic systemic fibrosis,1090.0
gadodiamide,gadoteridol,Skin induration,1090.0
butorphanol,amitriptyline,Dependence,1090.0
carisoprodol,butorphanol,Dependence,1070.0
cholecalciferol,alendronate,Fracture nonunion,1060.0
sodium bicarbonate,aprotinin,Renal injury,1050.0
tacrolimus,cyclophosphamide,Acute graft versus host disease,1030.0
abciximab,reteplase,Coronary artery stenosis,1030.0
lansoprazole,dihydroxyaluminum sodium carbonate,Osteoporosis,1020.0
rabbit anti-human t-lymphocyte globulin,mycophenolate mofetil,Transplant rejection,1020.0
propoxyphene,butorphanol,Dependence,1010.0
furosemide,tolvaptan,Hypernatraemia,1000.0
amlodipine,gadoversetamide,Nephrogenic systemic fibrosis,990.0
aprotinin,metoprolol,Renal injury,982.5
rabbit anti-human t-lymphocyte globulin,methylprednisolone,Acute graft versus host disease in skin,980.0
aprotinin,nitroglycerin,Renal injury,980.0
midazolam,protamine sulfate (usp),Renal injury,970.0
fludarabine,mycophenolate mofetil,Acute graft versus host disease in skin,970.0
aprotinin,clopidogrel,Renal injury,970.0
tacrolimus,busulfan,Chronic graft versus host disease,970.0
metoprolol,gadoteridol,Nephrogenic systemic fibrosis,960.0
norepinephrine,aspirin,Renal injury,950.0
rabbit anti-human t-lymphocyte globulin,methotrexate,Acute graft versus host disease,950.0
prednisone,gadopentetate dimeglumine,Nephrogenic systemic fibrosis,920.0
clonidine,epoetin alfa,Nephrogenic systemic fibrosis,920.0
tacrolimus,fludarabine,Acute graft versus host disease,915.0
gadodiamide,epoetin alfa,Skin tightness,910.0
propofol,fentanyl,Delayed recovery from anaesthesia,910.0
aprotinin,milrinone,Renal injury,905.0
epoetin alfa,sevelamer,Skin hypertrophy,900.0
bevacizumab,ranibizumab,Retinal haemorrhage,900.0
omeprazole,dihydroxyaluminum sodium carbonate,Multiple fractures,900.0
lamivudine,stavudine,Lipodystrophy acquired,900.0
busulfan,cyclosporine,Chronic graft versus host disease,895.0
efavirenz,ritonavir,Lipodystrophy acquired,890.0
lidocaine,heparin,Renal injury,885.0
aprotinin,dobutamine,Renal injury,880.0
propofol,protamine sulfate (usp),Renal injury,870.0
cytarabine,methotrexate,Myelopathy,870.0
tramadol,butorphanol,Dependence,850.0
sulfamethoxazole,bendamustine,Lymphocyte count decreased,850.0
heparin,etomidate,Renal injury,850.0
azithromycin,misoprostol,Abortion incomplete,850.0
hydrocodone,butorphanol,Dependence,843.333
cefazolin,heparin,Renal injury,842.5
amlodipine,gadopentetate dimeglumine,Nephrogenic systemic fibrosis,840.0
stavudine,nelfinavir,Lipodystrophy acquired,840.0
ethinyl estradiol,ranitidine,Cholecystitis chronic,836.667
ribavirin,lisinopril,Anorectal discomfort,830.0
alemtuzumab,acyclovir,Cytomegalovirus infection,830.0
prednisolone,ganciclovir,Cytomegalovirus infection,830.0
heparin,nitroprusside,Renal injury,830.0
furosemide,gadopentetate dimeglumine,Nephrogenic systemic fibrosis,815.0
vincristine,dactinomycin,Maternal exposure before pregnancy,810.0
zoledronic acid,prednisone,Bone lesion,810.0
tacrolimus,basiliximab,Complications of transplanted kidney,810.0
pancuronium,aprotinin,Renal injury,810.0
epoetin alfa,gabapentin,Nephrogenic systemic fibrosis,810.0
lamivudine,isoniazid,Immune reconstitution syndrome,810.0
etoposide,dactinomycin,Maternal exposure before pregnancy,810.0
lamivudine,rifampin,Immune reconstitution syndrome,800.0
sulfamethoxazole,sirolimus,Kidney transplant rejection,800.0
minocycline,isotretinoin,Colitis ulcerative,800.0
furosemide,sevelamer,Nephrogenic systemic fibrosis,800.0
busulfan,mycophenolate mofetil,Acute graft versus host disease,800.0
prednisone,cytarabine,Haematotoxicity,795.0
hydrocortisone,levothyroxine,Craniopharyngioma,790.0
epoetin alfa,mycophenolate mofetil,Nephrogenic systemic fibrosis,790.0
magnesium chloride,heparin,Peritonitis bacterial,790.0
heparin,protamine sulfate (usp),Renal injury,786.667
butorphanol,alprazolam,Dependence,780.0
metoprolol,epoetin alfa,Skin hypertrophy,780.0
caffeine,nicotine,Accidental overdose,770.0
aprotinin,magnesium sulfate,Renal injury,770.0
ibandronate,alendronate,Low turnover osteopathy,770.0
amlodipine,alendronate,Open reduction of fracture,767.5
telaprevir,allopurinol,Hyperuricaemia,760.0
exenatide,sitagliptin,Pancreatic carcinoma,760.0
hydrocodone,dabigatran etexilate,Haemorrhagic anaemia,760.0
hydrocodone,zoledronic acid,Osteosclerosis,760.0
zoledronic acid,chlorhexidine,Spinal osteoarthritis,760.0
efavirenz,ethambutol,Immune reconstitution syndrome,760.0
aprotinin,"regular insulin, human",Renal injury,750.0
zidovudine,nevirapine,Lipodystrophy acquired,750.0
amlodipine,cholecalciferol,Open reduction of fracture,750.0
vancomycin,aprotinin,Renal injury,742.5
ferrous sulfate,epoetin alfa,Nephrogenic systemic fibrosis,740.0
propoxyphene,digoxin,Economic problem,740.0
buprenorphine,heroin,Substance abuse,740.0
lopinavir,ritonavir,Lipodystrophy acquired,740.0
morphine,pamidronate,Osteomyelitis,740.0
oxycodone,ethanol,Polysubstance abuse,740.0
vinblastine,dacarbazine,Pulmonary toxicity,740.0
efavirenz,isoniazid,Immune reconstitution syndrome,740.0
rabbit anti-human t-lymphocyte globulin,fludarabine,Acute graft versus host disease,735.0
calcium acetate,gadopentetate dimeglumine,Skin tightness,730.0
lisinopril,digoxin,Cardioactive drug level increased,720.0
prednisone,basiliximab,Kidney transplant rejection,720.0
oxycodone,caffeine,Multiple drug overdose,720.0
esomeprazole,dihydroxyaluminum sodium carbonate,Vitamin D deficiency,720.0
warfarin,pamidronate,Atelectasis,710.0
"estrogens, conjugated (usp)",estrogens,Breast operation,710.0
ethinyl estradiol,cephalexin,Thrombophlebitis superficial,710.0
lamivudine,tenofovir disoproxil,Lipodystrophy acquired,710.0
calcium chloride,sevelamer,Peritonitis bacterial,710.0
oxycodone,butorphanol,Dependence,710.0
stavudine,indinavir,Lipodystrophy acquired,710.0
dexamethasone,pamidronate,Osteolysis,710.0
epoetin alfa,darbepoetin alfa,Nephrogenic systemic fibrosis,700.0
etoposide,doxorubicin,Neutropenic infection,700.0
remifentanil,sevoflurane,Low birth weight baby,700.0
tacrolimus,cytarabine,Acute graft versus host disease,700.0
telaprevir,ribavirin,Anal pruritus,700.0
epinephrine,aprotinin,Renal injury,693.333
chorionic gonadotropin,follitropin beta,Ovarian hyperstimulation syndrome,690.0
calcium carbonate,cimetidine,Osteoporosis,690.0
tramadol,drospirenone,Cholecystitis chronic,690.0
cefazolin,milrinone,Renal injury,690.0
drospirenone,omeprazole,Biliary dyskinesia,690.0
dopamine,protamine sulfate (usp),Renal injury,690.0
metoprolol,sevelamer,Nephrogenic systemic fibrosis,685.0
mercaptopurine,daunorubicin,Haematotoxicity,685.0
zoledronic acid,letrozole,Bone lesion,680.0
amoxicillin,pamidronate,Osteonecrosis of jaw,680.0
ribavirin,interferon alfa-2a,Hepatitis C,680.0
pamidronate,levofloxacin,Osteonecrosis of jaw,680.0
methotrexate,acyclovir,Acute graft versus host disease,680.0
sulfamethoxazole,busulfan,Graft versus host disease,680.0
famotidine,esomeprazole,Vitamin D deficiency,680.0
mercaptopurine,asparaginase,Haematotoxicity,675.0
darbepoetin alfa,mycophenolate mofetil,Aplasia pure red cell,670.0
quetiapine,chlorpromazine,Diabetic coma,670.0
cyclosporine,mycophenolate mofetil,Chronic allograft nephropathy,670.0
capecitabine,lapatinib,Skin chapped,670.0
ciprofloxacin,pamidronate,Osteonecrosis of jaw,670.0
azithromycin,metoclopramide,Economic problem,670.0
hydrochlorothiazide,atorvastatin,Hypertensive emergency,670.0
phenylephrine,protamine sulfate (usp),Anhedonia,670.0
methylprednisolone,valganciclovir,Cytomegalovirus infection,670.0
esomeprazole,lansoprazole,Multiple fractures,663.333
daunorubicin,filgrastim,Haematotoxicity,660.0
alemtuzumab,melphalan,Graft versus host disease,660.0
quetiapine,glipizide,Diabetic neuropathy,660.0
lisinopril,aprotinin,Renal injury,657.5
zoledronic acid,omeprazole,Osteosclerosis,650.0
panitumumab,fluorouracil,Paronychia,650.0
tenofovir disoproxil,ritonavir,Fanconi syndrome acquired,650.0
metoprolol,protamine sulfate (usp),Renal injury,650.0
exenatide,liraglutide,Pancreatic carcinoma,645.0
aprotinin,mannitol,Renal injury,642.5
mercaptopurine,doxorubicin,Haematotoxicity,640.0
didanosine,lopinavir,Lipodystrophy acquired,640.0
aprotinin,allopurinol,Unevaluable event,640.0
ethinyl estradiol,rizatriptan,Cholecystitis chronic,640.0
gadoversetamide,sevelamer,Skin tightness,640.0
lamivudine,saquinavir,Lipodystrophy acquired,630.0
rabbit anti-human t-lymphocyte globulin,busulfan,Acute graft versus host disease in skin,630.0
bleomycin,doxorubicin,Neutropenic infection,630.0
gadopentetate dimeglumine,gadolinium,Joint range of motion decreased,630.0
tamoxifen,pamidronate,Osteomyelitis,630.0
itraconazole,acyclovir,Acute graft versus host disease,630.0
aripiprazole,ziprasidone,Type 1 diabetes mellitus,630.0
warfarin,thiamine,Nephrogenic systemic fibrosis,630.0
zoledronic acid,docetaxel,Exposed bone in jaw,620.0
ritonavir,nelfinavir,Lipodystrophy acquired,620.0
acetaminophen,pamidronate,Osteolysis,620.0
calcium acetate,prednisone,Nephrogenic systemic fibrosis,620.0
abacavir,lamivudine,Lipodystrophy acquired,620.0
letrozole,paclitaxel,Metastases to bone,620.0
magnesium hydroxide,lansoprazole,Multiple fractures,620.0
pamidronate,celecoxib,Osteonecrosis of jaw,620.0
magnesium hydroxide,dihydroxyaluminum sodium carbonate,Multiple fractures,620.0
zoledronic acid,tamoxifen,Metastases to bone,615.0
clopidogrel,rofecoxib,Carotid artery stenosis,610.0
prednisone,mycophenolate mofetil,Heart transplant rejection,610.0
furosemide,sorafenib,Hepatic neoplasm malignant,610.0
warfarin,gadodiamide,Joint range of motion decreased,610.0
magnesium oxide,azacitidine,Neutrophil count decreased,610.0
amlodipine,aprotinin,Renal injury,610.0
saquinavir,ritonavir,Lipodystrophy acquired,610.0
capecitabine,zoledronic acid,Metastases to central nervous system,610.0
zoledronic acid,fentanyl,Bone lesion,610.0
filgrastim,fludarabine,Acute graft versus host disease in skin,610.0
bleomycin,cyclophosphamide,Neutropenic infection,610.0
raltegravir,etravirine,Lipodystrophy acquired,610.0
zoledronic acid,lorazepam,Osteolysis,610.0
cefazolin,aprotinin,Renal injury,608.333
"estrogens, conjugated (usp)",medroxyprogesterone,Progesterone receptor assay positive,608.0
mannitol,protamine sulfate (usp),Fear,606.667
famotidine,aprotinin,Unevaluable event,600.0
abacavir,tenofovir disoproxil,Lipodystrophy acquired,600.0
tacrolimus,rabbit anti-human t-lymphocyte globulin,Acute graft versus host disease in intestine,600.0
drospirenone,escitalopram,Cholecystitis chronic,600.0
clindamycin,pamidronate,Osteonecrosis of jaw,600.0
methylprednisolone,protamine sulfate (usp),Renal injury,600.0
risperidone,lisinopril,Obesity,600.0
calcitriol,sevelamer,Nephrogenic systemic fibrosis,600.0
warfarin,cinacalcet,Nephrogenic systemic fibrosis,600.0
bleomycin,prednisone,Neutropenic infection,600.0
midazolam,metoprolol,Renal injury,593.333
benazepril,aprotinin,Unevaluable event,590.0
zidovudine,tenofovir disoproxil,Lipodystrophy acquired,590.0
aspirin,reteplase,Coronary artery stenosis,590.0
calcium chloride,nitroglycerin,Renal injury,590.0
olanzapine,gabapentin,Type 1 diabetes mellitus,590.0
gadoversetamide,gadoteridol,Deformity,590.0
pamidronate,alprazolam,Osteonecrosis of jaw,590.0
prednisone,etoposide,Neutropenic infection,590.0
prednisone,valganciclovir,Kidney transplant rejection,590.0
ondansetron,pamidronate,Spinal osteoarthritis,590.0
aprotinin,nifedipine,Unevaluable event,590.0
calcium acetate,epoetin alfa,Skin induration,590.0
cyclophosphamide,tamoxifen,Metastasis,590.0
risperidone,quetiapine,Schizoaffective disorder,590.0
aspirin,protamine sulfate (usp),Renal injury,584.0
cyclosporine,azathioprine,Kaposi's sarcoma,580.0
cyclosporine,methylprednisolone,Acute graft versus host disease in intestine,580.0
stavudine,tenofovir disoproxil,Lipodystrophy acquired,580.0
stavudine,efavirenz,Lipodystrophy acquired,580.0
acetaminophen,digoxin,Cardioactive drug level increased,580.0
diltiazem,protamine sulfate (usp),Unevaluable event,580.0
chlorhexidine,pamidronate,Pain in jaw,580.0
metronidazole,pamidronate,Osteonecrosis of jaw,580.0
docusate,pamidronate,Osteonecrosis of jaw,580.0
cyclophosphamide,vincristine,Diffuse large B-cell lymphoma recurrent,580.0
cyclosporine,fludarabine,Graft versus host disease in skin,570.0
norepinephrine,aprotinin,Renal injury,570.0
cyclosporine,melphalan,Chronic graft versus host disease,570.0
cyclophosphamide,doxorubicin,Diffuse large B-cell lymphoma recurrent,570.0
lamivudine,nevirapine,Viral mutation identified,570.0
lisinopril,pamidronate,Osteomyelitis,570.0
sulfadoxine,pyrimethamine,Small for dates baby,570.0
fluconazole,ganciclovir,Cytomegalovirus infection,570.0
busulfan,fludarabine,Chronic graft versus host disease,570.0
trimethoprim,fludarabine,Graft versus host disease,570.0
aprotinin,lansoprazole,Unevaluable event,570.0
fludarabine,vincristine,Progressive multifocal leukoencephalopathy,570.0
fluconazole,fludarabine,Chronic graft versus host disease,570.0
busulfan,methylprednisolone,Acute graft versus host disease in skin,560.0
ferrous sulfate,sevelamer,Nephrogenic systemic fibrosis,560.0
everolimus,mycophenolate mofetil,Transplant rejection,560.0
clindamycin,zoledronic acid,Spinal osteoarthritis,560.0
didanosine,atazanavir,Lipodystrophy acquired,560.0
rabbit anti-human t-lymphocyte globulin,melphalan,Acute graft versus host disease in skin,560.0
cyclosporine,methotrexate,Overlap syndrome,560.0
hydrocodone,buprenorphine,Breakthrough pain,560.0
zoledronic acid,rofecoxib,Osteonecrosis of jaw,560.0
potassium chloride,protamine sulfate (usp),Renal injury,560.0
pamidronate,promethazine,Osteonecrosis of jaw,560.0
efavirenz,nevirapine,Lipodystrophy acquired,560.0
alendronate,calcium,Intramedullary rod insertion,552.0
zoledronic acid,levofloxacin,Spinal osteoarthritis,550.0
papaverine,heparin,Renal injury,550.0
cytarabine,fludarabine,Acute graft versus host disease in skin,550.0
nitroglycerin,protamine sulfate (usp),Renal injury,550.0
selegiline,pramipexole,Pathological gambling,550.0
butorphanol,hydroxyzine,Dependence,550.0
hydrocodone,aprotinin,Unevaluable event,550.0
gadoversetamide,metoprolol,Skin tightness,550.0
quetiapine,prednisone,Diabetic neuropathy,550.0
cinacalcet,metoprolol,Nephrogenic systemic fibrosis,550.0
melphalan,fludarabine,Adenovirus infection,550.0
pamidronate,letrozole,Pain in jaw,550.0
busulfan,acyclovir,Acute graft versus host disease in skin,550.0
darunavir,etravirine,Lipodystrophy acquired,550.0
levonorgestrel,hydrocodone,Uterine perforation,545.0
amlodipine,gadodiamide,Joint range of motion decreased,540.0
papaverine,protamine sulfate (usp),Unevaluable event,540.0
erlotinib,paclitaxel,Haematotoxicity,540.0
thiamine,gadopentetate dimeglumine,Skin induration,540.0
loxoprofen,gemcitabine,Interstitial lung disease,540.0
ethinyl estradiol,ibuprofen,Gallbladder non-functioning,540.0
calcium carbonate,ranitidine,Calcium deficiency,540.0
albuterol,aprotinin,Unevaluable event,540.0
olanzapine,chlorpromazine,Diabetic neuropathy,540.0
pantoprazole,esomeprazole,Calcium deficiency,540.0
docetaxel,denosumab,Osteonecrosis of jaw,540.0
iothalamic acid,sodium bicarbonate,Acute kidney injury,540.0
digoxin,protamine sulfate (usp),Unevaluable event,540.0
risedronate,alendronate,Anaemia postoperative,540.0
entacapone,pramipexole,Pathological gambling,540.0
aspirin,epoetin alfa,Skin hypertrophy,540.0
aspirin,cefazolin,Renal injury,540.0
rituximab,vincristine,B-cell lymphoma recurrent,540.0
gadodiamide,prednisone,Joint range of motion decreased,540.0
fluticasone,ritonavir,Adrenal insufficiency,540.0
levodopa,ropinirole,Hypersexuality,540.0
aprotinin,digoxin,Renal injury,536.667
pancuronium,protamine sulfate (usp),Renal injury,535.0
telaprevir,peginterferon alfa-2a,Anal pruritus,533.125
zoledronic acid,zolpidem,Osteosclerosis,530.0
cefazolin,calcium chloride,Renal injury,530.0
tamoxifen,methotrexate,Metastasis,530.0
ritonavir,ethambutol,Immune reconstitution syndrome,530.0
aprotinin,lorazepam,Fear,530.0
gadodiamide,gadolinium,Joint range of motion decreased,530.0
trimethoprim,granisetron,Lymphocyte count decreased,530.0
pantoprazole,dihydroxyaluminum sodium carbonate,Osteoporosis,530.0
doxycycline,misoprostol,Endometritis,530.0
linezolid,citalopram,Serotonin syndrome,530.0
clozapine,standardized senna concentrate,Neutrophil count increased,530.0
aspirin,sevelamer,Skin induration,530.0
clopidogrel,protamine sulfate (usp),Fear,530.0
morphine,zoledronic acid,Osteolysis,530.0
tobramycin,dornase alfa,Cystic fibrosis,530.0
aprotinin,diltiazem,Renal injury,530.0
azithromycin,digoxin,Economic problem,525.0
cefazolin,nitroprusside,Renal injury,520.0
olanzapine,citalopram,Diabetic neuropathy,520.0
erlotinib,cisplatin,Haematotoxicity,520.0
esomeprazole,omeprazole,Sleep disorder due to a general medical condition,520.0
acetaminophen,ethinyl estradiol,Gallbladder cholesterolosis,520.0
clozapine,metoprolol,Granulocytopenia,520.0
carbidopa,pramipexole,Pathological gambling,520.0
prednisone,fludarabine,Progressive multifocal leukoencephalopathy,520.0
omeprazole,clozapine,Antipsychotic drug level increased,520.0
prochlorperazine,pamidronate,Spinal osteoarthritis,520.0
lorazepam,pamidronate,Osteonecrosis of jaw,520.0
fentanyl,sevoflurane,Hyperthermia malignant,520.0
epoetin alfa,gadoteridol,Joint range of motion decreased,520.0
clonazepam,pramipexole,Pathological gambling,520.0
pancuronium,vancomycin,Renal injury,520.0
lidocaine,aprotinin,Anhedonia,516.667
6-aminocaproic acid,nitroglycerin,Unevaluable event,510.0
zoledronic acid,leuprolide,Prostatic specific antigen increased,510.0
prednisone,rituximab,Secondary immunodeficiency,510.0
ethinyl estradiol,dicyclomine,Biliary dyskinesia,510.0
aripiprazole,haloperidol,Diabetic neuropathy,510.0
isosorbide,protamine sulfate (usp),Unevaluable event,510.0
metoprolol,calcitriol,Nephrogenic systemic fibrosis,510.0
famotidine,drospirenone,Cholecystitis chronic,510.0
6-aminocaproic acid,protamine sulfate (usp),Fear,510.0
cinacalcet,sevelamer,Skin induration,510.0
busulfan,melphalan,Venoocclusive liver disease,510.0
ethinyl estradiol,ciprofloxacin,Gallbladder injury,510.0
cocaine,heroin,Substance abuse,510.0
acetaminophen,sevelamer,Nephrogenic systemic fibrosis,510.0
lamivudine,didanosine,Portal hypertension,510.0
zoledronic acid,cyclobenzaprine,Osteonecrosis of jaw,510.0
calcium acetate,clonidine,Nephrogenic systemic fibrosis,510.0
hyoscyamine,ethinyl estradiol,Biliary dyskinesia,510.0
methamphetamine,morphine,Drug abuse,510.0
calcium acetate,thiamine,Nephrogenic systemic fibrosis,510.0
exemestane,pamidronate,Metastases to bone,510.0
olmesartan,atorvastatin,Hypertensive emergency,510.0
doxorubicin,rituximab,Diffuse large B-cell lymphoma recurrent,510.0
ethinyl estradiol,loratadine,Cholecystitis chronic,510.0
enoxaparin,aprotinin,Fear,505.0
aprotinin,potassium chloride,Renal injury,505.0
oxycodone,heroin,Substance abuse,503.333
lamivudine,zidovudine,Immune reconstitution syndrome,501.667
daunorubicin,cytarabine,Caecitis,500.0
epinephrine,nitroglycerin,Renal injury,500.0
gadodiamide,lisinopril,Skin hypertrophy,500.0
nitroprusside,metoprolol,Unevaluable event,500.0
zoledronic acid,doxorubicin,Atelectasis,500.0
amoxicillin,promethazine,Economic problem,500.0
olanzapine,trazodone,Diabetes mellitus non-insulin-dependent,500.0
alemtuzumab,methotrexate,Cytomegalovirus infection,500.0
prednisone,pamidronate,Atelectasis,500.0
clavulanate,hexetidine,Bone disorder,500.0
gadoversetamide,darbepoetin alfa,Nephrogenic systemic fibrosis,500.0
succinylcholine,protamine sulfate (usp),Unevaluable event,500.0
cefazolin,nitroglycerin,Renal injury,500.0
ibuprofen,hexetidine,Bone disorder,500.0
lamivudine,efavirenz,Mitochondrial toxicity,500.0
calcium carbonate,esomeprazole,Calcium deficiency,500.0
diphenhydramine,protamine sulfate (usp),Unevaluable event,500.0
carmustine,mesna,Pneumonitis,500.0
diltiazem,heroin,Drug abuse,500.0
omeprazole,lansoprazole,Calcium deficiency,500.0
olanzapine,simvastatin,Diabetic neuropathy,500.0
cyclophosphamide,fludarabine,Secondary immunodeficiency,500.0
zoledronic acid,ondansetron,Bone lesion,500.0
atorvastatin,milrinone,Unevaluable event,500.0
tacrolimus,micafungin,Acute graft versus host disease,500.0
zoledronic acid,darbepoetin alfa,Osteomyelitis,500.0
zidovudine,darunavir,Lipodystrophy acquired,500.0
famotidine,ethinyl estradiol,Cholecystitis chronic,496.667
simvastatin,protamine sulfate (usp),Renal injury,495.0
abacavir,stavudine,Lipodystrophy acquired,495.0
tacrolimus,acyclovir,Acute graft versus host disease in skin,495.0
heparin,mannitol,Renal injury,492.0
immunoglobulin a,cyclosporine,Graft versus host disease,490.0
calcium chloride,mannitol,Fear,490.0
doxycycline,isotretinoin,Inflammatory bowel disease,490.0
oxycodone,pamidronate,Bone lesion,490.0
temozolomide,dexamethasone,Glioblastoma multiforme,490.0
etoposide,thalidomide,Gastrointestinal inflammation,490.0
prednisone,vincristine,B-cell lymphoma recurrent,490.0
ethinyl estradiol,ferrous sulfate,Cholecystitis chronic,490.0
dobutamine,protamine sulfate (usp),Renal injury,490.0
cisplatin,melphalan,Gastrointestinal inflammation,490.0
deferasirox,hydromorphone,Sickle cell anaemia with crisis,490.0
moxifloxacin,levofloxacin,Tendon rupture,490.0
azithromycin,ritonavir,Immune reconstitution syndrome,490.0
mycophenolate,cyclophosphamide,Graft versus host disease,490.0
immunoglobulin a,cyclophosphamide,Acute graft versus host disease,490.0
epinephrine,pancuronium,Renal injury,490.0
atropine,sevoflurane,Hyperthermia,490.0
metformin,ethinyl estradiol,Gallbladder injury,490.0
cisplatin,thalidomide,Gastrointestinal inflammation,490.0
aprotinin,nitroprusside,Renal injury,490.0
zoledronic acid,carboplatin,Metastases to bone,490.0
lactate,sodium chloride,Fungal peritonitis,481.667
vancomycin,daptomycin,Staphylococcal bacteraemia,480.0
isosorbide,rofecoxib,Angina unstable,480.0
drospirenone,zolpidem,Cholecystitis chronic,480.0
fludarabine,methotrexate,Acute graft versus host disease in skin,480.0
calcium acetate,darbepoetin alfa,Nephrogenic systemic fibrosis,480.0
zoledronic acid,metoprolol,Exposed bone in jaw,480.0
midazolam,diltiazem,Renal injury,480.0
iron sucrose,epoetin alfa,Nephrogenic systemic fibrosis,480.0
cyclophosphamide,ganciclovir,Cytomegalovirus infection,480.0
darbepoetin alfa,gadopentetate dimeglumine,Skin induration,480.0
salmeterol,ritonavir,Cushing's syndrome,480.0
folic acid,eculizumab,Haemoglobinuria,480.0
bendamustine,acyclovir,Lymphocyte count decreased,480.0
cyclophosphamide,prednisone,B-cell lymphoma recurrent,480.0
fludarabine,rituximab,Hypogammaglobulinaemia,480.0
asparaginase,prednisone,Haematotoxicity,476.667
pantoprazole,drospirenone,Cholecystitis chronic,475.0
daunorubicin,methotrexate,Haematotoxicity,473.333
docetaxel,letrozole,Metastases to bone,470.0
famotidine,temozolomide,Lymphocyte count decreased,470.0
warfarin,darbepoetin alfa,Nephrogenic systemic fibrosis,470.0
glucose,sodium chloride,Peritoneal effluent abnormal,470.0
ethinyl estradiol,norgestimate,Pregnancy on oral contraceptive,470.0
pegloticase,methylprednisolone,Infusion related reaction,470.0
alemtuzumab,cyclosporine,Acute graft versus host disease in skin,470.0
esomeprazole,cimetidine,Foot fracture,470.0
lisinopril,zoledronic acid,Bone lesion,470.0
glyburide,aprotinin,Renal injury,470.0
fentanyl,dopamine,Renal injury,470.0
simvastatin,rofecoxib,Carotid artery stenosis,470.0
cyclosporine,basiliximab,Complications of transplanted kidney,470.0
calcium acetate,metoprolol,Skin hypertrophy,470.0
epinephrine,digoxin,Renal injury,470.0
caspofungin,voriconazole,Hepatotoxicity,470.0
deferoxamine,deferasirox,Serum ferritin increased,470.0
drospirenone,levofloxacin,Cholecystitis chronic,470.0
fulvestrant,letrozole,Metastases to bone,470.0
daclizumab,sirolimus,Complications of transplanted kidney,470.0
lisinopril,lithium carbonate,Therapeutic agent toxicity,470.0
drospirenone,oxycodone,Cholecystitis chronic,470.0
oxycodone,deferasirox,Sickle cell anaemia with crisis,470.0
